,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
14920,tt0340181,movie,Janis and John,Janis et John,0,2003,105,Comedy,6.2,856,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14921,tt0340285,movie,Father's Affair,De passievrucht,0,2003,100,Drama,6.6,1296,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14922,tt0340376,movie,The Statement,The Statement,0,2003,114,"Drama,Thriller",6.2,5163,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14923,tt0340377,movie,The Station Agent,The Station Agent,0,2003,89,"Comedy,Drama",7.6,69150,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14924,tt0340468,movie,Bus 174,Ônibus 174,0,2002,150,"Crime,Documentary",7.8,8129,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14925,tt0340855,movie,Monster,Monster,0,2003,109,"Biography,Crime,Drama",7.3,144487,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14926,tt0341266,movie,Bhoot,Bhoot,0,2003,113,"Horror,Mystery,Thriller",6.5,3604,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
14927,tt0341376,movie,Gettin' Square,Gettin' Square,0,2003,100,"Comedy,Crime,Thriller",6.7,2990,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14928,tt0341384,movie,The Coast Guard,Hae anseon,0,2002,91,"Action,Drama,War",6.5,3353,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14929,tt0341455,movie,The Web of the Witch,Makdee,0,2002,90,"Comedy,Family,Fantasy",7.5,1888,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14930,tt0341555,movie,Sex Is Zero,Saekjeuk shigong,0,2002,96,"Comedy,Romance",6.6,6123,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14931,tt0341562,movie,Satta,Satta,0,2003,153,"Crime,Drama",6.8,560,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14932,tt0342012,movie,9,9,0,2002,91,"Crime,Drama,Mystery",7.6,1719,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14933,tt0342143,movie,Born Rich,Born Rich,0,2003,75,Documentary,6.5,1820,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14934,tt0342150,movie,Bukowski: Born into This,Bukowski: Born into This,0,2003,130,"Biography,Documentary",7.9,3468,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14935,tt0342167,movie,Camp,Camp,0,2003,114,"Comedy,Drama,Musical",6.2,5819,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14936,tt0342172,movie,Capturing the Friedmans,Capturing the Friedmans,0,2003,107,"Biography,Crime,Documentary",7.7,25082,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
